ID,Weapon_Name,Country_of_Origin,Manufacturer,Category,Subcategory,Year_Introduced,Year_Retired,Service_Status,Caliber,Action_Type,Effective_Range_m,Max_Range_m,Weight_kg,Length_mm,Barrel_Length_mm,Muzzle_Velocity_mps,Rate_of_Fire_rpm,Magazine_Capacity,Warhead_Weight_kg,Max_Speed_kmh,Crew_Size,Unit_Cost_USD,Num_Operator_Nations,Primary_Users,NATO_Compatible,Generation,Theater_of_Operation,Export_Status,Combat_Proven,Propulsion_Type,Guidance_System,Communication_System,Operating_Environment,Protection_Level,Notes
9773,NASAMS-IV,Albania,National Defence Industries,Air Defense,Counter-UAS System,1977,,In Development,Laser beam,Passive anti-radiation,137334,173872,6558.73,,,,,2,22.0,,6,994086094,12,Albania + 11 allied nations,N/A,3.5th,Land,Widely Exported,No,Chemical,IR homing,IFF Mode 4/5,Underground,Electro-optical APS,3.5th generation Counter-UAS System; operated by Albania; in development service; Underground optimised
9774,CV-82,Iran,Ministry Arms Factory,Armored Vehicle,Armoured Ambulance,1994,,Active (Limited),90mm rifled,N/A - unmanned turret,4156,8111,12616.21,4342,,,,,,,1,10893048,24,Iran + 23 allied nations,N/A,4.5th,Land,Embargoed,Limited,Hybrid diesel-electric,Optical,IFF Mode 4/5,Urban,Classified composite,4.5th generation Armoured Ambulance; operated by Iran; active (limited) service; Urban optimised
9775,FS-439,Switzerland,Mowag,Naval,Frigate,1970,2015,Retired,76mm OTO Melara,N/A - naval propulsion,,,63953544.43,141072,,,,,,,2021,12930390740,13,Switzerland + 12 allied nations,No,3rd,Sea,Limited Export,Yes,Diesel-electric,Manual,BLOS datalink,High-altitude,Composite + Trophy APS,3rd generation Frigate; operated by Switzerland; retired service; High-altitude optimised
9776,TCG-355,Uganda,State Arsenal,Naval,Nuclear Attack Submarine,1976,2006,Retired,155mm AGS,N/A - naval propulsion,,,67143252.4,161425,,,,,,,259,9444275296,14,Uganda + 13 allied nations,Yes,5th,Sea,Very Limited Export,Yes,CODAG combined,N/A,JTIDS,Multi-environment,Electro-optical APS,5th generation Nuclear Attack Submarine; operated by Uganda; retired service; Multi-environment optimised
9777,RPG-126,Rwanda,Armed Forces Ordnance,Support Weapon,Medium Mortar,1951,,Active (Limited),105mm recoilless,Gas-operated semi/full auto,7573,11405,51.91,,649,387,5,11,488.9,,3,20624,18,Rwanda + 17 allied nations,Partial,2nd,Land,Very Limited Export,No,Manual,Inertial,VHF radio,Littoral,Full spectrum protection,2nd generation Medium Mortar; operated by Rwanda; active (limited) service; Littoral optimised
9778,HQ-69,Austria,National Defence Industries,Air Defense,Short-Range SAM,1990,,Active,127mm,Command inertial/TVM,341775,578161,12378.02,,,,,1,109.4,,9,513889564,13,Austria + 12 allied nations,No,2nd,Land,Not Exported,No,Manual,Semi-active radar,SINGCARS,Arctic/Cold weather,Soft-kill APS,2nd generation Short-Range SAM; operated by Austria; active service; Arctic/Cold weather optimised
9779,FIM-82,Montenegro,National Ordnance Plant,Air Defense,Gun-Missile SHORAD,2022,,Active,57mm,Command radar uplink,200160,431957,29842.72,,,,,,432.9,,9,291244675,35,Montenegro + 34 allied nations,Partial,1st,Land,Limited Export,Limited,N/A,Semi-active radar,UHF radio,High-altitude,Explosive Reactive Armour (ERA),1st generation Gun-Missile SHORAD; operated by Montenegro; active service; High-altitude optimised
9780,K-457,France,Nexter Systems,Artillery,Heavy Mortar System,1992,,Active,175mm,Separate loading QF,95679,164326,24048.49,12055,,,12,27,,,7,7285174,29,France + 28 allied nations,No,5th,Land,Not Exported,No,Towed (no propulsion),Manual,Encrypted UHF/VHF,High-altitude,Steel plate,5th generation Heavy Mortar System; operated by France; active service; High-altitude optimised
9781,T-232,Tunisia,Government Defence Works,Artillery,Precision Guided MRL,2002,,Active (Limited),240mm heavy mortar,Separate loading QF,66751,124429,42986.5,10214,,,24,,,,2,7554599,19,Tunisia + 18 allied nations,Partial,6th (prototype),Land,Exported,No,Wheeled diesel,Unguided,UHF radio,Desert,Rolled Homogeneous Armour (RHA),6th (prototype) generation Precision Guided MRL; operated by Tunisia; active (limited) service; Desert optimised
9782,RGM-447,Oman,Ministry Arms Factory,Missile,Air-to-Ground Missile,1973,,Active (Limited),178mm,Fire-and-forget MMW radar,11075358,12343330,75456.89,1915,,,,11,299.5,4991,4,73530022,1,Oman,Partial,1st,Air,Very Limited Export,Limited,Combined ramjet+rocket,INS/TERCOM,Software Defined Radio,Littoral,Rolled Homogeneous Armour (RHA),1st generation Air-to-Ground Missile; operated by Oman; active (limited) service; Littoral optimised
9783,MPT-155,Australia,BAE Systems Australia,Small Arm,Designated Marksman Rifle,1948,,Active,6.8x51mm,Blowback operated,494,891,6.68,572,446,808,1359,98,,,2,173336,1,Australia,N/A,1st,Land,Limited Export,No,Manual,Optical,IFF Mode 4/5,All-terrain,Composite + ERA,1st generation Designated Marksman Rifle; operated by Australia; active service; All-terrain optimised
9784,NLAW-73,Belgium,Government Defence Works,Anti-Tank,Disposable AT Rocket,1947,,Reserve,105mm,Laser beam riding,25834,38634,17.39,1378,,,,1,370.2,,1,78362,27,Belgium + 26 allied nations,Yes,6th (prototype),Air,Not Exported,Limited,Electric,IR fire-and-forget,VHF radio,Jungle,Full spectrum protection,6th (prototype) generation Disposable AT Rocket; operated by Belgium; reserve service; Jungle optimised
9785,Milan-201,Estonia,Armed Forces Ordnance,Anti-Tank,Anti-Tank Mine System,2014,,Reserve,105mm,Predicted Line of Sight,17145,27382,103.33,1859,,,,1,26.3,,2,408577,17,Estonia + 16 allied nations,Yes,5th+,Land,Exported,Yes,Electric,RF guided,HF/VHF/UHF,Mountain,Hard-kill APS (Trophy),5th+ generation Anti-Tank Mine System; operated by Estonia; reserve service; Mountain optimised
9786,AS-Guardian,North Korea,Government Defence Works,Artillery,Multiple Rocket Launcher,1961,,Active,300mm heavy rocket,Ram-loaded,346912,531279,22579.34,4670,,,14,,,,7,9354279,23,North Korea + 22 allied nations,N/A,4.5th,Land,Embargoed,Yes,Self-propelled diesel,N/A,Software Defined Radio,Jungle,Soft-kill APS,4.5th generation Multiple Rocket Launcher; operated by North Korea; active service; Jungle optimised
9787,AG-64,Estonia,Defence Production Corp,Support Weapon,Automatic Grenade Launcher,1994,,Testing/Evaluation,73mm,Muzzle-loaded drop-fire,10463,18080,117.72,1046,1124,349,34,6,416.0,,5,34926,30,Estonia + 29 allied nations,Partial,3.5th,Land,Exported,No,Chemical,N/A,HF/VHF/UHF,Arctic/Cold weather,Composite + ERA,3.5th generation Automatic Grenade Launcher; operated by Estonia; testing/evaluation service; Arctic/Cold weather optimised
9788,SPH-NGF,Thailand,Ministry Arms Factory,Artillery,Self-Propelled Howitzer,1972,,Active,175mm,Ram-loaded,190019,462727,43724.83,8596,,,21,41,,,5,3811312,29,Thailand + 28 allied nations,Partial,3.5th,Land,Limited Export,Yes,Towed (no propulsion),N/A,Software Defined Radio,Amphibious,NERA,3.5th generation Self-Propelled Howitzer; operated by Thailand; active service; Amphibious optimised
9789,BGM-356,Ecuador,National Ordnance Plant,Missile,Ballistic MRBM,2014,,Active (Limited),150mm,Nuclear-armed inertial,13137738,14328541,67813.61,13264,,,,1,71.3,12668,5,50430388,33,Ecuador + 32 allied nations,No,5th,Air,Limited Export,No,Turbojet,Passive IR,SINGCARS,Naval,Full spectrum protection,5th generation Ballistic MRBM; operated by Ecuador; active (limited) service; Naval optimised
9790,HQ-133,China,Norinco,Air Defense,Long-Range SAM,1957,,Testing/Evaluation,Various composite,Passive anti-radiation,359595,676731,2085.07,,,,,8,363.6,,5,137722338,33,China + 32 allied nations,Yes,4.5th,Sea,Widely Exported,Yes,Manual,IR homing,BLOS datalink,Amphibious,Electro-optical APS,4.5th generation Long-Range SAM; operated by China; testing/evaluation service; Amphibious optimised
9791,AGM-309,Israel,Israel Weapon Industries,Missile,Supersonic Cruise Missile,1959,,Active,800mm,Hypersonic glide maneuvering,1994496,2109849,59869.73,2360,,,,4,593.7,3778,3,32120953,10,Israel + 9 allied nations,No,3.5th,Sea,Embargoed,Yes,Scramjet,Optical contrast,BLOS datalink,Jungle,Composite Chobham,3.5th generation Supersonic Cruise Missile; operated by Israel; active service; Jungle optimised
9792,MALE-MK3,Paraguay,Government Defence Works,UAS,Suicide Drone,1993,,Active,Small fragmentation warhead,AI-assisted autonomous targeting,1383448,3687537,11383.95,13625,,,,,160.9,400,1,238320443,20,Paraguay + 19 allied nations,Yes,5th+,Air,Embargoed,Limited,Turbojet,Operator BLOS,UHF radio,High-altitude,Slat/Cage armor,5th+ generation Suicide Drone; operated by Paraguay; active service; High-altitude optimised
9793,Bill-52,UAE,State Arsenal,Anti-Tank,Network-Enabled ATGM,2022,,Active,120mm,RF command guided,29282,38209,,1305,,,,1,273.1,,1,238442,20,UAE + 19 allied nations,Yes,2nd,Air,Very Limited Export,Limited,Manual,Wire SACLOS,UHF radio,Desert,Steel plate,2nd generation Network-Enabled ATGM; operated by UAE; active service; Desert optimised
9794,2S-362,Nepal,Government Defence Works,Artillery,Self-Propelled Howitzer,1986,,Active (Limited),175mm,Semi-automatic breech,,,,,,,16,24,,,4,8644342,35,Nepal + 34 allied nations,Yes,2nd,Land,Embargoed,Limited,N/A,Manual,Software Defined Radio,Mountain,No armor,2nd generation Self-Propelled Howitzer; operated by Nepal; active (limited) service; Mountain optimised
9795,ROKS-343,Cambodia,Ministry Arms Factory,Naval,Littoral Combat Ship,1965,,Active,155mm AGS,N/A - naval propulsion,,,50766573.95,,,,,,,,895,14287133911,19,Cambodia + 18 allied nations,Yes,3.5th,Sea,Not Exported,Limited,Pump-jet,Inertial,BLOS datalink,Jungle,No armor,3.5th generation Littoral Combat Ship; operated by Cambodia; active service; Jungle optimised
9796,JS-415,Saudi Arabia,State Arsenal,Naval,Littoral Combat Ship,1950,,Active,Phalanx CIWS 20mm,N/A - naval propulsion,,,64377632.49,97653,,,,,,,5381,14628938591,29,Saudi Arabia + 28 allied nations,Partial,4th,Sea,Very Limited Export,Limited,CODAG combined,Optical,SINGCARS,Arctic/Cold weather,Composite + Trophy APS,4th generation Littoral Combat Ship; operated by Saudi Arabia; active service; Arctic/Cold weather optimised
9797,G-103,Uruguay,Defence Production Corp,Artillery,Multiple Rocket Launcher,1946,,Reserve,105mm,Manual breech-loaded,126051,217474,49220.18,5562,,,13,60,,,9,7793527,34,Uruguay + 33 allied nations,Partial,3.5th,Land,Embargoed,Yes,Wheeled diesel,N/A,BLOS datalink,Littoral,Explosive Reactive Armour (ERA),3.5th generation Multiple Rocket Launcher; operated by Uruguay; reserve service; Littoral optimised
9798,BREM-336,Norway,Nammo AS,Special Systems,Decontamination Vehicle,1997,,Reserve,Jamming spectrum,Electronic jamming,593846,1180091,26114.58,2548,,,,,,,8,38899291,17,Norway + 16 allied nations,No,2nd,Land,Limited Export,Yes,Electric,Inertial,Link 16 datalink,Littoral,Soft-kill APS,2nd generation Decontamination Vehicle; operated by Norway; reserve service; Littoral optimised
9799,CL-34,Angola,State Arsenal,Special Systems,Active Protection System,1970,,Active,Electronic/Laser,Passive RF collection,,,12270.95,,,,,,,,1,6636247,12,Angola + 11 allied nations,Partial,5th+,Land,Exported,Yes,N/A,Manual,IFF Mode 4/5,Desert,Classified composite,5th+ generation Active Protection System; operated by Angola; active service; Desert optimised
9800,BMD-408,India,Hindustan Aeronautics Ltd,Armored Vehicle,Reconnaissance Vehicle,1974,,Active,35mm autocannon,N/A - autoloader,3603,5899,44654.54,5183,,,,,,,8,1149481,2,India + 1 allied nations,N/A,5th,Land,Very Limited Export,No,Diesel inline-6,Inertial,SINGCARS,Desert,Classified composite,5th generation Reconnaissance Vehicle; operated by India; active service; Desert optimised
9801,AHS-Hunter,New Zealand,Ministry Arms Factory,Artillery,Precision Guided MRL,1988,,Active,240mm heavy mortar,Semi-automatic breech,8386,19725,26841.46,7563,,,3,69,,,4,8667517,13,New Zealand + 12 allied nations,Partial,3rd,Land,Embargoed,Yes,Self-propelled diesel,Unguided,BFT Blue Force Tracking,Naval,Rolled Homogeneous Armour (RHA),3rd generation Precision Guided MRL; operated by New Zealand; active service; Naval optimised
9802,RQ-E,Lithuania,Government Defence Works,UAS,Armed MALE UAS,1985,,Active,50-100kg blast warhead,Operator-in-loop BLOS,573831,1275917,15550.51,,,,,,280.6,941,3,77082244,33,Lithuania + 32 allied nations,No,5th,Land,Exported,No,Turboprop,Laser spot tracking,Link 11,All-terrain,Composite + ERA,5th generation Armed MALE UAS; operated by Lithuania; active service; All-terrain optimised
9803,F-M2,Malaysia,National Ordnance Plant,Small Arm,General Purpose Machine Gun,1962,,Active,7mm Rem Mag,Recoil-operated rotating barrel,1510,2835,18.3,203,840,320,424,126,,,2,193345,6,Malaysia + 5 allied nations,No,4.5th,Land,Embargoed,Limited,N/A,Manual,Link 11,Amphibious,Classified composite,4.5th generation General Purpose Machine Gun; operated by Malaysia; active service; Amphibious optimised
9804,BMP-434,Malta,Ministry Arms Factory,Armored Vehicle,Reconnaissance Vehicle,1971,,Active,100mm rifled,N/A - manual loading,3050,4796,5694.05,7342,,,,,,,8,3843234,24,Malta + 23 allied nations,N/A,5th+,Land,Embargoed,Limited,Hybrid diesel-electric,Manual,HF/VHF/UHF,Urban,Hard-kill APS (Trophy),5th+ generation Reconnaissance Vehicle; operated by Malta; active service; Urban optimised
9805,G-357,Tajikistan,National Ordnance Plant,Small Arm,Battle Rifle,2012,,Reserve,40x53mm,Semi-automatic gas,349,584,13.86,580,369,425,1480,129,,,1,241404,18,Tajikistan + 17 allied nations,N/A,4.5th,Land,Exported,No,N/A,N/A,UHF radio,Arctic/Cold weather,Classified composite,4.5th generation Battle Rifle; operated by Tajikistan; reserve service; Arctic/Cold weather optimised
9806,C-4,Paraguay,National Ordnance Plant,Missile,Anti-Radiation Missile,1998,,Active,520mm,Passive anti-radiation,1244022,1438574,63867.91,16966,,,,5,152.6,6620,2,12238685,16,Paraguay + 15 allied nations,Yes,6th (prototype),Land,Limited Export,Limited,Scramjet,INS/TERCOM,Encrypted UHF/VHF,Littoral,Electro-optical APS,6th (prototype) generation Anti-Radiation Missile; operated by Paraguay; active service; Littoral optimised
9807,L-150,UAE,National Defence Industries,Support Weapon,Rocket Launcher,1956,,Active,40x46mm,Single-shot reloadable,11976,22231,39.05,1995,582,373,8,,586.5,,3,47511,14,UAE + 13 allied nations,N/A,4th,Land,Not Exported,Yes,Electric,Optical,JTIDS,Littoral,Full spectrum protection,4th generation Rocket Launcher; operated by UAE; active service; Littoral optimised
9808,AIM-223,Venezuela,Armed Forces Ordnance,Missile,Hypersonic Glide Vehicle,1976,,Reserve,177mm,Maneuvering reentry vehicle,10207975,11363149,10104.64,,,,,6,48.1,,2,52871638,16,Venezuela + 15 allied nations,Yes,3rd,Air,Very Limited Export,Limited,Combined ramjet+rocket,Active radar,JTIDS,Amphibious,Steel plate,3rd generation Hypersonic Glide Vehicle; operated by Venezuela; reserve service; Amphibious optimised
9809,T-v1,Ghana,Armed Forces Ordnance,Artillery,Coastal Artillery,1968,,Active,130mm,N/A rocket,238409,562589,31540.08,,,,9,48,,,9,7439386,30,Ghana + 29 allied nations,Partial,3.5th,Land,Widely Exported,Yes,Self-propelled diesel,Unguided,Software Defined Radio,Jungle,Explosive Reactive Armour (ERA),3.5th generation Coastal Artillery; operated by Ghana; active service; Jungle optimised
9810,BGM-326,Georgia,State Defence Enterprise,Missile,Air-to-Air BVR Missile,1980,,Active,240mm,Passive IR seeker,4379258,5150766,93791.1,8636,,,,3,120.2,6319,1,40929252,2,Georgia + 1 allied nations,Yes,1st,Sea,Widely Exported,No,Scramjet,Active radar,UHF radio,Mountain,Composite Chobham,1st generation Air-to-Air BVR Missile; operated by Georgia; active service; Mountain optimised
9811,AS-133,Spain,Indra Sistemas,Artillery,Multiple Rocket Launcher,1977,,Reserve,200mm rocket,Manual breech-loaded,93129,135185,3149.92,,,,6,,,,4,4895307,31,Spain + 30 allied nations,N/A,4.5th,Land,Exported,Yes,Wheeled diesel,N/A,Link 16 datalink,Multi-environment,Electro-optical APS,4.5th generation Multiple Rocket Launcher; operated by Spain; reserve service; Multi-environment optimised
9812,ZBD-185,Uganda,Defence Production Corp,Armored Vehicle,Tank Destroyer,1991,,Active,35mm autocannon,N/A - autoloader,7544,13979,78762.07,6971,,,,,,,2,12375954,25,Uganda + 24 allied nations,Partial,3.5th,Land,Exported,No,Gas turbine,Inertial,BLOS datalink,Arctic/Cold weather,NERA,3.5th generation Tank Destroyer; operated by Uganda; active service; Arctic/Cold weather optimised
9813,M-v3,Uzbekistan,State Arsenal,Support Weapon,Rocket Launcher,1996,2021,Retired,81mm,Recoilless single-shot,4874,8391,59.09,1540,1520,332,32,22,326.1,,2,16270,2,Uzbekistan + 1 allied nations,Yes,4.5th,Land,Not Exported,Limited,N/A,Manual,Encrypted UHF/VHF,Jungle,Full spectrum protection,4.5th generation Rocket Launcher; operated by Uzbekistan; retired service; Jungle optimised
9814,AMX-Thunder,Myanmar,Ministry Arms Factory,Armored Vehicle,Main Battle Tank,1946,,Reserve,30mm autocannon,N/A - unmanned turret,3811,6684,69226.35,5095,,,,,,,1,10727975,22,Myanmar + 21 allied nations,Yes,3rd,Land,Very Limited Export,No,Gas turbine,Inertial,SINGCARS,All-terrain,Composite + Trophy APS,3rd generation Main Battle Tank; operated by Myanmar; reserve service; All-terrain optimised
9815,Tor-121,Tanzania,National Ordnance Plant,Air Defense,Laser-Based Air Defense,1996,,Active,100mm,Imaging IR seeker,367342,583163,28553.49,,,,,11,497.7,,10,303576364,4,Tanzania + 3 allied nations,Yes,5th+,Sea,Exported,Yes,Manual,3-band optical,VHF radio,Desert,Rolled Homogeneous Armour (RHA),5th+ generation Laser-Based Air Defense; operated by Tanzania; active service; Desert optimised
9816,K-5,Angola,National Ordnance Plant,Small Arm,Combat Shotgun,1971,,Active,4.6x30mm,Gas-operated direct impingement,1686,3094,8.27,167,788,565,641,34,,,2,272647,6,Angola + 5 allied nations,N/A,5th,Land,Not Exported,Yes,N/A,Optical,Link 16 datalink,All-terrain,Electro-optical APS,5th generation Combat Shotgun; operated by Angola; active service; All-terrain optimised
9817,CV-Barak,Albania,Defence Production Corp,Armored Vehicle,Mine Protected Vehicle,2011,2023,Retired,76mm gun,N/A - manual loading,2996,5346,3581.82,5409,,,,,,,5,3611912,7,Albania + 6 allied nations,Yes,1st,Land,Exported,Limited,Diesel inline-6,Inertial,SATCOM,Littoral,Soft-kill APS,1st generation Mine Protected Vehicle; operated by Albania; retired service; Littoral optimised
9818,MSTAR-446,India,Bharat Dynamics Ltd,Special Systems,Battlefield Radar,1999,,Reserve,Electronic/Laser,Remote-operated,896512,1410483,,11748,,,,,,,6,10737372,23,India + 22 allied nations,Partial,1st,Land,Widely Exported,Limited,Chemical,N/A,HF/VHF/UHF,Naval,Composite + Trophy APS,1st generation Battlefield Radar; operated by India; reserve service; Naval optimised
9819,M-355,Vietnam,Government Defence Works,Artillery,Self-Propelled Howitzer,1993,,Testing/Evaluation,155mm/52cal,Semi-automatic breech,186407,477560,26401.33,5252,,,11,60,,,6,8515941,3,Vietnam + 2 allied nations,N/A,6th (prototype),Land,Not Exported,No,Wheeled diesel,N/A,Link 11,Urban,Classified composite,6th (prototype) generation Self-Propelled Howitzer; operated by Vietnam; testing/evaluation service; Urban optimised
9820,LAV-A6,Brazil,IMBEL,Armored Vehicle,ATGM Carrier Vehicle,2003,,In Development,23mm autocannon,N/A - manual loading,1568,2240,35053.68,4875,,,,,,,2,2796495,34,Brazil + 33 allied nations,Partial,6th (prototype),Land,Embargoed,Limited,Diesel V-8,Inertial,BLOS datalink,Littoral,Hard-kill APS (Trophy),6th (prototype) generation ATGM Carrier Vehicle; operated by Brazil; in development service; Littoral optimised
9821,APILAS-31,Chile,National Defence Industries,Anti-Tank,Loitering ATGM,1970,,Reserve,84mm,Wire-guided SACLOS,1583,2129,116.12,1249,,,,1,18.6,,3,492129,6,Chile + 5 allied nations,N/A,1st,Land,Limited Export,No,Electric,RF guided,BFT Blue Force Tracking,High-altitude,Full spectrum protection,1st generation Loitering ATGM; operated by Chile; reserve service; High-altitude optimised
9822,MCX-216,Latvia,Government Defence Works,Small Arm,Combat Shotgun,2006,,Active,338 Lapua Magnum,Roller-delayed blowback,545,1037,,681,235,360,,155,,,1,1477,10,Latvia + 9 allied nations,No,6th (prototype),Land,Embargoed,No,N/A,Unguided,SINGCARS,Multi-environment,Steel plate,6th (prototype) generation Combat Shotgun; operated by Latvia; active service; Multi-environment optimised
9823,ZBD-371,Uruguay,State Arsenal,Armored Vehicle,Armoured Ambulance,1973,,Active (Limited),76mm gun,N/A - autoloader,4588,6644,13606.59,7653,,,,,,,4,11977301,29,Uruguay + 28 allied nations,Yes,3rd,Land,Limited Export,Yes,Diesel V-12,Optical,Encrypted UHF/VHF,Naval,No armor,3rd generation Armoured Ambulance; operated by Uruguay; active (limited) service; Naval optimised
9824,C-SL,Venezuela,Armed Forces Ordnance,Missile,Air-Launched Ballistic Missile,1946,,Reserve,559mm,Fire-and-forget MMW radar,6462390,7679806,99028.35,,,,,9,407.0,,3,61025844,6,Venezuela + 5 allied nations,N/A,6th (prototype),Land,Not Exported,Yes,Turbojet,INS/TERCOM,BLOS datalink,Naval,Steel plate,6th (prototype) generation Air-Launched Ballistic Missile; operated by Venezuela; reserve service; Naval optimised
9825,G-M3,Romania,State Defence Enterprise,Small Arm,Personal Defence Weapon,1963,,In Development,9x21mm,Semi-automatic gas,351,488,16.35,,291,771,575,14,,,1,210695,17,Romania + 16 allied nations,N/A,6th (prototype),Land,Widely Exported,Yes,N/A,Manual,Link 11,Multi-environment,Full spectrum protection,6th (prototype) generation Personal Defence Weapon; operated by Romania; in development service; Multi-environment optimised
9826,RBS-M,Canada,General Dynamics Canada,Air Defense,Gun-Missile SHORAD,1948,,Active (Limited),57mm,Command inertial/TVM,16585,36439,46766.21,,,,,7,213.7,,8,1073325627,28,Canada + 27 allied nations,Yes,4th,Sea,Limited Export,Limited,Chemical,Semi-active radar,VHF radio,Jungle,Full spectrum protection,4th generation Gun-Missile SHORAD; operated by Canada; active (limited) service; Jungle optimised
9827,TB-479,Zimbabwe,Ministry Arms Factory,UAS,Cargo/Logistics UAS,2021,,Reserve,N/A - EO/IR payload only,AI-assisted autonomous targeting,3637674,11260201,15873.64,5440,,,,,519.4,530,1,156067925,11,Zimbabwe + 10 allied nations,No,3.5th,Air,Exported,Limited,Solid rocket,Anti-radiation passive,Encrypted UHF/VHF,Mountain,No armor,3.5th generation Cargo/Logistics UAS; operated by Zimbabwe; reserve service; Mountain optimised
9828,K-283,Mongolia,Armed Forces Ordnance,Armored Vehicle,Reconnaissance Vehicle,2015,,Active,30mm autocannon,N/A - unmanned turret,819,1334,60347.48,4768,,,,,,,8,5553390,26,Mongolia + 25 allied nations,No,5th+,Land,Key Export Product,No,Multi-fuel diesel,N/A,HF/VHF/UHF,Mountain,Soft-kill APS,5th+ generation Reconnaissance Vehicle; operated by Mongolia; active service; Mountain optimised
9829,ACR-128,Mongolia,State Arsenal,Small Arm,Grenade Launcher,1984,,Testing/Evaluation,7.62x35mm .300BLK,Bolt-action,1448,2257,10.24,,567,,471,29,,,2,166413,20,Mongolia + 19 allied nations,No,4.5th,Land,Key Export Product,Limited,Manual,Unguided,UHF radio,High-altitude,Full spectrum protection,4.5th generation Grenade Launcher; operated by Mongolia; testing/evaluation service; High-altitude optimised
9830,PP-75,Estonia,State Defence Enterprise,Support Weapon,Anti-Tank Mine Layer,1971,1987,Retired,120mm smoothbore recoilless,Trigger-fired muzzle-loaded,7458,12827,198.79,,227,442,31,31,458.4,,5,91779,4,Estonia + 3 allied nations,No,5th,Land,Embargoed,Yes,Manual,Optical,UHF radio,Urban,Rolled Homogeneous Armour (RHA),5th generation Anti-Tank Mine Layer; operated by Estonia; retired service; Urban optimised
9831,F-481,Sweden,Saab AB,Small Arm,Under-barrel GL,1958,,Testing/Evaluation,9x19mm Parabellum,Recoil-operated rotating barrel,2300,4149,20.69,1211,,435,984,166,,,1,158124,18,Sweden + 17 allied nations,N/A,1st,Land,Not Exported,Limited,Electric,Unguided,JTIDS,Desert,No armor,1st generation Under-barrel GL; operated by Sweden; testing/evaluation service; Desert optimised
9832,RQ-359,Germany,MBDA Germany,UAS,Electronic Warfare UAS,1999,,Active,Laser designator only,GPS-waypoint autonomous,266250,765413,16576.6,,,,,,326.5,215,3,80220136,11,Germany + 10 allied nations,Partial,5th,Air,Key Export Product,Yes,Turbofan,Anti-radiation passive,BFT Blue Force Tracking,Naval,Rolled Homogeneous Armour (RHA),5th generation Electronic Warfare UAS; operated by Germany; active service; Naval optimised
9833,UH-62,Kosovo,State Defence Enterprise,Aircraft,Aerial Tanker,2014,2020,Retired,27mm Mauser BK-27,N/A - fly-by-wire,13171049,18274723,141502.44,38989,,,,,,2770,2,1284326508,22,Kosovo + 21 allied nations,N/A,3.5th,Air,Embargoed,Limited,Rotary (turboshaft),Inertial,VHF radio,Multi-environment,Hard-kill APS (Trophy),3.5th generation Aerial Tanker; operated by Kosovo; retired service; Multi-environment optimised
9834,9K-175,Belgium,National Defence Industries,Air Defense,Counter-UAS System,1991,,Active,240mm,Passive anti-radiation,182200,238445,23249.65,,,,,7,302.7,,8,1627862896,2,Belgium + 1 allied nations,No,1st,Land,Widely Exported,Yes,N/A,Semi-active radar,UHF radio,Urban,Full spectrum protection,1st generation Counter-UAS System; operated by Belgium; active service; Urban optimised
9835,T-439,Turkmenistan,National Defence Industries,Aircraft,Electronic Warfare Aircraft,1984,,Active (Limited),12.7mm HMG,N/A - FBW quadruplex,11129309,13397260,62683.08,39960,,,,,,1762,5,3577013882,20,Turkmenistan + 19 allied nations,No,5th,Air,Very Limited Export,Yes,Turbojet,N/A,SATCOM,Amphibious,Composite + ERA,5th generation Electronic Warfare Aircraft; operated by Turkmenistan; active (limited) service; Amphibious optimised
9836,Type-485,China,Jiangnan Shipyard,Small Arm,Light Machine Gun,2011,,Testing/Evaluation,9x21mm,DAO rotating barrel,733,1396,10.83,1423,249,330,1277,,,,2,249087,5,China + 4 allied nations,N/A,6th (prototype),Land,Limited Export,Yes,Electric,Manual,HF/VHF/UHF,Urban,Composite + Trophy APS,6th (prototype) generation Light Machine Gun; operated by China; testing/evaluation service; Urban optimised
9837,CL-46,Israel,Soltam Systems,Special Systems,Cyber Warfare Platform,2023,,Active,N/A,Electronic jamming,361393,433337,36356.52,5316,,,,,,,3,10231375,3,Israel + 2 allied nations,N/A,3rd,Land,Limited Export,Limited,N/A,Unguided,Link 11,High-altitude,Composite + ERA,3rd generation Cyber Warfare Platform; operated by Israel; active service; High-altitude optimised
9838,ACR-254,Somalia,State Arsenal,Small Arm,Submachine Gun,2005,,Active,5.45x39mm,Gas-operated direct impingement,1448,2686,7.84,1053,889,719,785,118,,,1,196353,28,Somalia + 27 allied nations,No,1st,Land,Key Export Product,Yes,N/A,Manual,UHF radio,Underground,Active Protection System,1st generation Submachine Gun; operated by Somalia; active service; Underground optimised
9839,SA-246,Turkey,Aselsan,Air Defense,Medium-Range SAM,1949,,Active,72mm,Imaging IR seeker,265259,529544,347.96,,,,,,239.4,,6,904956713,33,Turkey + 32 allied nations,Partial,1st,Land,Key Export Product,Limited,Manual,Command uplink,VHF radio,Desert,Full spectrum protection,1st generation Medium-Range SAM; operated by Turkey; active service; Desert optimised
9840,K-11,Cambodia,Armed Forces Ordnance,Small Arm,Submachine Gun,1946,,Active,10mm Auto,Recoil-operated rotating barrel,615,837,12.25,832,480,469,1153,104,,,2,149719,6,Cambodia + 5 allied nations,N/A,6th (prototype),Land,Exported,Limited,Electric,Manual,Encrypted UHF/VHF,Naval,Composite + Trophy APS,6th (prototype) generation Submachine Gun; operated by Cambodia; active service; Naval optimised
